"ASV","Comparison","log2FoldChange","padj","Enriched_in","Domain","Phylum","Class","Order","Family","Genus","Species"
"8f9454637e7bc77c046cf213e7adf3c4","VEG vs FERM",1.70327354814495,0.00167239481479151,"FERM","d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia",NA
"f24578abbb916ac546bc296dd2986836","VEG vs FERM",1.68920132273759,0.0211868769963944,"FERM","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Segatella",NA
"ea14fdca2a53fb4e7ba30f41ac288515","VEG vs FERM",1.6373311423644,0.000165215251281415,"FERM","d__Bacteria","p__Bacillota","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Weizmannia",NA
"db237d14b271a32bad6f12b06b88373e","VEG vs FERM",-3.39176547420651,1.08699281906781e-09,"VEG","d__Bacteria","p__Cyanobacteriota","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilaceae","g__Zag_111",NA
"12842c74e3bf28e8f09a9e80e5e2e408","VEG vs FERM",-1.9396297306538,0.0361070979917382,"VEG","d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__CAG-352",NA
"815cbc8e77041cbaab0ad79b7d3f3dcf","VEG vs FERM",-1.70409058693619,0.00158227034806278,"VEG","d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Anaerostipes",NA
"b33ce322e47be952fec3476cca4d743e","VEG vs FERM",-1.65442505107734,0.00221734835036376,"VEG","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Segatella",NA
"deabd3fbd7a2e2ab38209993b1ff7604","VEG vs FERM",-1.57758374667911,0.00263992036483447,"VEG","d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Acutalibacter",NA
"ce1fe225b339277c4e93586503d8cb52","VEG vs FERM",-1.54168502810651,0.0102119681128337,"VEG","d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__[Eubacterium]_coprostanoligenes_group","g__Incertae_Sedis",NA
"acaa288157e896442cec0d66c9d2a56c","VEG vs FERM",-1.54047161255384,0.00443434441039938,"VEG","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA
