"taxon","SE","df","lower.CL","upper.CL","Family","Genus","taxon_label","Subset","Base","VEG","WO1","FERM","WO2","change","direction"
"836ec409e25bd5fd25225475280e8bc3",0.313821571171531,131.999999999999,-7.9941197937141,-6.75257962070367,"f__Ruminococcaceae","g__Ruminococcus","f__Ruminococcaceae_g__Ruminococcus_836ec409e25bd5fd25225475280e8bc3","Fresh",-7.37334970720889,NA,NA,NA,NA,NA,NA
"836ec409e25bd5fd25225475280e8bc3",0.313821571171531,132,-8.58683718675302,-7.3452970137426,"f__Ruminococcaceae","g__Ruminococcus","f__Ruminococcaceae_g__Ruminococcus_836ec409e25bd5fd25225475280e8bc3","Fresh",NA,-7.96606710024781,NA,NA,NA,NA,NA
"836ec409e25bd5fd25225475280e8bc3",0.313821571171531,132,-8.08967969928512,-6.8481395262747,"f__Ruminococcaceae","g__Ruminococcus","f__Ruminococcaceae_g__Ruminococcus_836ec409e25bd5fd25225475280e8bc3","Fresh",NA,NA,-7.46890961277991,NA,NA,NA,NA
"cf450c6378dfd42671a15071f6e36085",0.202444350522214,132.000000000002,-8.3665220355698,-7.56561216492566,"f__Ruminococcaceae","g__UCG-001","f__Ruminococcaceae_g__UCG-001_cf450c6378dfd42671a15071f6e36085","Fresh",-7.96606710024773,NA,NA,NA,NA,NA,NA
"cf450c6378dfd42671a15071f6e36085",0.202444350522214,132,-8.01587813476012,-7.21496826411598,"f__Ruminococcaceae","g__UCG-001","f__Ruminococcaceae_g__UCG-001_cf450c6378dfd42671a15071f6e36085","Fresh",NA,-7.61542319943805,NA,NA,NA,NA,NA
"cf450c6378dfd42671a15071f6e36085",0.202444350522214,132,-8.36652203556988,-7.56561216492574,"f__Ruminococcaceae","g__UCG-001","f__Ruminococcaceae_g__UCG-001_cf450c6378dfd42671a15071f6e36085","Fresh",NA,NA,-7.96606710024781,NA,NA,NA,NA
"40d7269d78874c56c8621deb61732635",0.248826302949144,131.999999999998,-7.97743864535856,-6.99303260195063,"f__Lachnospiraceae","g__[Ruminococcus]_gnavus_group","f__Lachnospiraceae_g__[Ruminococcus]_gnavus_group_40d7269d78874c56c8621deb61732635","Fermented",-7.4852356236546,NA,NA,NA,NA,NA,NA
"40d7269d78874c56c8621deb61732635",0.248826302949145,132.000000000001,-8.408418444326,-7.42401240091807,"f__Lachnospiraceae","g__[Ruminococcus]_gnavus_group","f__Lachnospiraceae_g__[Ruminococcus]_gnavus_group_40d7269d78874c56c8621deb61732635","Fermented",NA,NA,NA,-7.91621542262203,NA,NA,NA
"40d7269d78874c56c8621deb61732635",0.248826302949145,132.000000000001,-8.408418444326,-7.42401240091807,"f__Lachnospiraceae","g__[Ruminococcus]_gnavus_group","f__Lachnospiraceae_g__[Ruminococcus]_gnavus_group_40d7269d78874c56c8621deb61732635","Fermented",NA,NA,NA,NA,-7.91621542262203,NA,NA
"42d0fe0faa65739030e8eb3862ea04ea",0.212075957967644,131.999999999999,-7.96839629521399,-7.1293818815025,"f__[Eubacterium]_coprostanoligenes_group","g__Incertae_Sedis","f__[Eubacterium]_coprostanoligenes_group_g__Incertae_Sedis_42d0fe0faa65739030e8eb3862ea04ea","Fermented",-7.54888908835824,NA,NA,NA,NA,NA,NA
"42d0fe0faa65739030e8eb3862ea04ea",0.212075957967644,132,-8.33572262947778,-7.49670821576629,"f__[Eubacterium]_coprostanoligenes_group","g__Incertae_Sedis","f__[Eubacterium]_coprostanoligenes_group_g__Incertae_Sedis_42d0fe0faa65739030e8eb3862ea04ea","Fermented",NA,NA,NA,-7.91621542262203,NA,NA,NA
