"Taxon","Comparison","log2FoldChange","padj","Enriched_in"
"6f49d5f69e1738c2b1caa568169fe45f","VEG vs Base",1.8108762028799,0.00358127164700077,"VEG"
"693c4191f94283ce9354c456c57e08b0","VEG vs Base",1.17295306409677,0.0403481328095414,"VEG"
"9b76d539d0e2dc10d7d4e79f881d9e26","VEG vs Base",2.0889994430378,0.000200902887196122,"VEG"
"a721bc4969806bb221cdc5111b634e5b","VEG vs Base",-1.29103489853266,0.0172372118505496,"Base"
"e2ca72018582597dab61ecf5c945e960","VEG vs Base",-1.4240440336621,0.0197430521128449,"Base"
"703c0480cacefd1361843c961509cc5f","VEG vs Base",1.09149458716206,0.0342651935608151,"VEG"
"724bff92640b4db16edc1d7c2fcc0fed","VEG vs Base",1.0758597657298,0.0440028772083612,"VEG"
"dea139ff586a45dd73163a79b7a269ba","VEG vs Base",1.26679848248301,0.0172372118505496,"VEG"
"76903c7d4f9086f98a6d334f6f8f2d77","VEG vs Base",2.61237880074315,0.00126098782912402,"VEG"
"ea53b50646135d623d822f1ec95a8df0","VEG vs Base",-1.78296827544075,0.00933474835109508,"Base"
"dd994db157c0b52c34bea32d029f96fe","VEG vs Base",-1.6444857791423,0.00452979853225848,"Base"
"8e5eac3879e8a0e1ac2dbb7c2adf5400","VEG vs Base",1.34016008143244,0.0172372118505496,"VEG"
"7f33face94935b421a69106a241a513e","VEG vs Base",-1.26197760836366,0.0172372118505496,"Base"
"6baffe77be88a97dfecfb65c30784de4","VEG vs Base",1.4671401351935,0.0303000338017372,"VEG"
"3172bbefbfb8c110365b7542c8e28265","VEG vs Base",1.35899809321011,0.0121689688912186,"VEG"
"93eb4290d8b8208bfe15bf66625ddc97","VEG vs Base",-3.09002767185699,4.78594062473154e-07,"Base"
"b73b8200705cb907a6275f7c535ea2bb","VEG vs Base",-1.96639328883993,0.000360461767248167,"Base"
"e962d22d6818d2964bb5d8a65f082d92","VEG vs Base",1.27422304991383,0.0172372118505496,"VEG"
"d2c7be73f5a78e204fee262781c6b47c","VEG vs Base",2.12206289748906,0.000204734439879811,"VEG"
"d62f8db43fe2edf6028e61030f4666b2","VEG vs Base",1.3513403221478,0.0172372118505496,"VEG"
"05a07cd73fd88135a55ba4c563d82024","VEG vs Base",-1.72575420225157,0.00126098782912402,"Base"
"1df01b0e50bb3d0ef15a691548b2cedc","VEG vs Base",1.15354939455766,0.0396503575050073,"VEG"
"deabd3fbd7a2e2ab38209993b1ff7604","VEG vs Base",1.46309709383729,0.00660272343254746,"VEG"
"dbc3f2aaa280a6677996d7f306305be4","VEG vs Base",-1.24971636325349,0.0269606249243537,"Base"
"dc1cffa36bb2e1125ddd37733bcf2d7d","VEG vs Base",-1.27469865606068,0.0172372118505496,"Base"
"f84d5a5360138a83a869b46ee8bcdd4a","VEG vs Base",-1.42526961228945,0.0348820941949865,"Base"
"279b20e0c7f72e8352188a6378fab88b","VEG vs Base",1.582759190526,0.00180921793369954,"VEG"
"31760b17e6d0bd30b881d7b3958812b9","VEG vs Base",2.1323573194663,0.000204734439879811,"VEG"
"8112aada0285492d5e374b91ae970197","VEG vs Base",-2.05233451858251,0.000345405094516128,"Base"
"acaa288157e896442cec0d66c9d2a56c","VEG vs Base",1.53886782984616,0.00560456407373174,"VEG"
"98d28ee1ef8b0548acbbf7922f1cb1da","VEG vs Base",2.01924836569192,0.000360461767248167,"VEG"
"e9df9ed5f38ab71f197ad176b5927184","VEG vs Base",1.4496473216161,0.00560456407373174,"VEG"
"06a398214f48c3828abb76379a568a8f","VEG vs Base",1.16464830966324,0.0293991051663201,"VEG"
"cbf659e08a31c927cd9b2d9b14c99a36","VEG vs Base",1.70854582883749,0.00126098782912402,"VEG"
